codigo,descricao,quantidade,local,data_hora,responsavel,observacao
813265,Carcaça New BV superior,14,Furadeiras,12/05/2025 00:00:00,,
813306,Suporte orelha New BV,224,Carol,12/05/2025 00:00:00,,
813128,Gomo alumínio industrial,156,Cremalheiras,12/05/2025 00:00:00,,
813251,Sem fim alumínio,235,Marcos,12/05/2025 00:00:00,,
813243,Engrenagem ext industrial,3,Roginei,12/05/2025 00:00:00,,
813096,Engrenagem ext DZ nova,20,Roginei,12/05/2025 00:00:00,,
813271,Carcaça BV3 inferior,4,Furadeiras e BV,28/05/2025 00:00:00,,
813270,Carcaça BV3 superior,12,Furadeiras e BV,28/05/2025 00:00:00,,
813273,Carcaça BV4 inferior,24,Furadeiras e BV,28/05/2025 00:00:00,,
813272,Carcaça BV4 superior,10,Furadeiras e BV,28/05/2025 00:00:00,,
813258,Carcaça New BV inferior,1,Furadeiras,28/05/2025 00:00:00,,
813265,Carcaça New BV superior,1,Furadeiras,28/05/2025 00:00:00,,
813310,Cilindro da chave,44,Pivo,28/05/2025 00:00:00,,
813281,Suporte orelha do BV,270,Kit,28/05/2025 00:00:00,,
813306,Suporte orelha New BV,91,Kit,28/05/2025 00:00:00,,
813271,Carcaça BV3 inferior,13,Furadeiras e Pivo,03/06/2025 00:00:00,,
813270,Carcaça BV3 superior,20,Furadeiras e Pivo,03/06/2025 00:00:00,,
813273,Carcaça BV4 inferior,1,BV,03/06/2025 00:00:00,,
813272,Carcaça BV4 superior,11,Furadeiras,03/06/2025 00:00:00,,
813259,Carcaça New BV com encoder,8,Furadeiras,03/06/2025 00:00:00,,
813258,Carcaça New BV inferior,8,Furadeiras,03/06/2025 00:00:00,,
813265,Carcaça New BV superior,14,Furadeiras,03/06/2025 00:00:00,,
813310,Cilindro da chave,102,PIVO,03/06/2025 00:00:00,,
813281,Suporte orelha do BV,189,Pivo e Kit,03/06/2025 00:00:00,,
813306,Suporte orelha New BV,111,Kit,03/06/2025 00:00:00,,
813521,Borboleta,5,Pivo,03/06/2025 00:00:00,,
813251,Sem fim alumínio,361,Montagem,03/06/2025 00:00:00,,
813511,Pino dos kit alumínio,104,Kit,03/06/2025 00:00:00,,
813271,Carcaça BV3 inferior,3,Pivo,11/06/2025 00:00:00,,
813270,Carcaça BV3 superior,5,Pivo,11/06/2025 00:00:00,,
813096,Engrenagem ext DZ nova,56,Montagem,11/06/2025 00:00:00,,
813511,Pino dos kit alumínio,53,Kit,11/06/2025 00:00:00,,
