Código,Descrição,Média,Sistema,Galpão,Divergente,%,Data,Hora,Tipo,Observação,
412021,ROTOR AGL DESL P24 4 POLOS EIXO C/ VENTOINHA,20,0.0,0.0,0.0,0.0,2026-05-26,15:45:00,,,
412062,ROTOR AGL DESL P28 2 POLOS EIXO C/ VENTOINHA,20,0.0,0.0,0.0,0.0,2026-05-26,15:45:00,,,
412066,ROTOR AGL DESL P39 2 POLOS EIXO C/ VENTOINHA,20,0.0,0.0,0.0,0.0,2026-05-26,15:45:00,,,
412096,ROTOR AGL DESL P60 4 POLOS EIXO C/ VENTOINHA,20,0.0,0.0,0.0,0.0,2026-05-26,15:45:00,,,
412036,ROTOR AGL DESL P80 4 POLOS EIXO C/ VENTOINHA,13.5,0.0,0.0,0.0,0.0,2026-05-26,15:45:00,,,
412061,ROTOR AGL DESL P24 2 POLOS EIXO C/ VENTOINHA,20,0.0,0.0,0.0,0.0,2026-05-26,15:45:00,,,
412098,CJ ESTATOR ROTOR AGL P17 1/7 cv 04 42Z 127V 60HZ (TQ LAVE MAIS),15,0.0,0.0,0.0,0.0,2026-05-26,15:47:00,,,
412097,CJ ESTATOR ROTOR AGL P17 1/7 cv 04 42Z 220V 60HZ (TQ LAVE MAIS),15,0.0,0.0,0.0,0.0,2026-05-26,15:47:00,,,
412383,CJ ESTATOR ROTOR AGL P24 1/7 cv 04 42Z 127V 60HZ (SUGGAR REPOSIÇÃO),15,0.0,0.0,0.0,0.0,2026-05-26,15:47:00,,,
412384,CJ ESTATOR ROTOR AGL P24 1/7 cv 04 42Z 220V 60HZ (SUGGAR REPOSIÇÃO),15,0.0,0.0,0.0,0.0,2026-05-26,15:47:00,,,
412389,CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 220V 60Hz (TQ FIX BASE PLASTICA),15,0.0,0.0,0.0,0.0,2026-05-26,15:47:00,,,
412099,CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 220V 60Hz (COLORMAQ),15,0.0,0.0,0.0,0.0,2026-05-26,15:47:00,,,
412131,CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 220V 60Hz (SUGGAR REPOSIÇÃO),15,0.0,0.0,0.0,0.0,2026-05-26,15:47:00,,,
412390,CJ ESTATOR ROTOR AGL P24 1/7 cv 04 42Z 220V 60HZ (TQ EIXO LONGO),15,0.0,0.0,0.0,0.0,2026-05-26,15:47:00,,,
412391,CJ ESTATOR ROTOR AGL P24 1/7 cv 04 42Z 127V 60HZ (TQ EIXO LONGO),15,0.0,0.0,0.0,0.0,2026-05-26,15:47:00,,,
412133,CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 127V 60Hz (TQ DE CIMENTO),15,0.0,0.0,0.0,0.0,2026-05-26,15:47:00,,,
412132,CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 220V 60Hz (TQ DE CIMENTO),15,0.0,0.0,0.0,0.0,2026-05-26,15:47:00,,,
412136,CJ ESTATOR ROTOR AGL P24 1/7 cv 04 42Z 127V 60HZ (LATINA),15,0.0,0.0,0.0,0.0,2026-05-26,15:47:00,,,
412137,CJ ESTATOR ROTOR AGL P24 1/7 cv 04 42Z 220V 60HZ (LATINA),15,0.0,0.0,0.0,0.0,2026-05-26,15:47:00,,,
412386,CJ ESTATOR ROTOR AGL P24 1/7 cv 04 42Z 220V 60HZ (COLORMAQ REPOSIÇÃO),15,0.0,0.0,0.0,0.0,2026-05-26,15:47:00,,,
412385,CJ ESTATOR ROTOR AGL P24 1/7 cv 04 42Z 127V 60HZ (COLORMAQ REPOSIÇÃO),15,0.0,0.0,0.0,0.0,2026-05-26,15:47:00,,,
412129,CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 127V 60Hz (TQ FIORETA),15,0.0,0.0,0.0,0.0,2026-05-26,15:47:00,,,
412138,CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 220V 60Hz (TQ FIORETA),15,0.0,0.0,0.0,0.0,2026-05-26,15:47:00,,,
412171,CJ ESTATOR ROTOR AGL P24 1/7 cv 04 42Z 127V 60HZ (TQ NEW UP),15,0.0,0.0,0.0,0.0,2026-05-26,15:47:00,,,
412172,CJ ESTATOR ROTOR AGL P24 1/7 cv 04 42Z 220V 60HZ (TQ NEW UP),15,0.0,0.0,0.0,0.0,2026-05-26,15:47:00,,,
412127,CJ ESTATOR ROTOR AGL P24 1/7 cv 04 42Z 220V 60HZ (SUGGAR),15,0.0,0.0,0.0,0.0,2026-05-26,15:47:00,,,
412103,CJ ESTATOR ROTOR AGL P24 1/7 cv 04 42Z 127V 60HZ (COLORMAQ),15,0.0,0.0,0.0,0.0,2026-05-26,15:47:00,,,
412122,CJ ESTATOR ROTOR AGL P24 1/7 cv 04 42Z 220V 60HZ (COLORMAQ),15,0.0,0.0,0.0,0.0,2026-05-26,15:48:00,,,
412128,CJ ESTATOR ROTOR AGL P24 1/7 cv 04 42Z 127V 60HZ (SUGGAR),15,0.0,0.0,0.0,0.0,2026-05-26,15:48:00,,,
412181,CJ ESTATOR ROTOR BOBINADO AGL P17 1/7 cv 04 42Z 127V 60HZ FLORA HIDALGO,15,0.0,0.0,0.0,0.0,2026-05-26,15:48:00,,,
412047,CJ ESTATOR ROTOR AGL BASC P20 1/6 cv 04 42z 127V 60Hz,15,0.0,0.0,0.0,0.0,2026-05-26,15:48:00,,,
412046,CJ ESTATOR ROTOR AGL BASC P20 1/6 cv 04 42z 220V 60Hz,15,0.0,0.0,0.0,0.0,2026-05-26,15:48:00,,,
412010,CJ ESTATOR ROTOR AGL DESL P35 1/3cv 04 42Z 220V 60HZ,15,0.0,0.0,0.0,0.0,2026-05-26,15:48:00,,,
412017,CJ ESTATOR ROTOR AGL DESL P20 1/6 cv 04 42z 127V 60Hz,11,0.0,0.0,0.0,0.0,2026-05-26,15:48:00,,,
412018,CJ ESTATOR ROTOR AGL DESL P20 1/6 cv 04 42z 220V 60Hz,15,0.0,0.0,0.0,0.0,2026-05-26,15:48:00,,,
