id,id_inspecao,op,codigo,descricao,quantidade_programada,inspecao_completa,quantidade_nc,codigo_nc,observacao,codigo_item,descricao_item,destino,sem_fim,central,inspecoes,tensao
16,16,98154,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,Estator,estator,Nacional,,,0,
17,16,98154,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,Sem fim,sem_fim,Nacional,,,0,
18,16,98154,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,Furo,furo,Nacional,,,0,
19,16,98154,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,Capacitor,capacitor,Nacional,,,0,
20,16,98154,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,Placa,placa,Nacional,,,0,
21,16,98154,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,Jumper,jumper,Nacional,,,0,
22,16,98154,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,Manual,manual,Nacional,,,0,
23,16,98154,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,40,True,0,,,2007089,Etiqueta Tampa,etiqueta_tampa,Nacional,,,0,
17,17,98270,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,True,0,,,2007089,Estator,estator,Nacional,,,0,
18,17,98270,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,True,0,,,2007089,Sem fim,sem_fim,Nacional,,,0,
19,17,98270,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,True,0,,,2007089,Furo,furo,Nacional,,,0,
20,17,98270,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,True,0,,,2007089,Capacitor,capacitor,Nacional,,,0,
21,17,98270,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,True,0,,,2007089,Placa,placa,Nacional,,,0,
22,17,98270,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,True,0,,,2007089,Jumper,jumper,Nacional,,,0,
23,17,98270,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,True,0,,,2007089,KIT,kit,Nacional,,,0,
24,17,98270,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,True,0,,,2007089,Manual,manual,Nacional,,,0,
25,17,98270,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,True,0,,,2007089,Etiqueta Tampa,etiqueta_tampa,Nacional,,,0,
18,18,98549,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,100,True,0,,,2008002,Estator,estator,Nacional,,,0,
19,18,98549,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,100,True,0,,,2008002,Sem fim,sem_fim,Nacional,,,0,
20,18,98549,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,100,True,0,,,2008002,Capacitor,capacitor,Nacional,,,0,
21,18,98549,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,100,True,0,,,2008002,Jumper,jumper,Nacional,,,0,
22,18,98549,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,100,True,0,,,2008002,Tampa,tampa,Nacional,,,0,
23,18,98549,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,100,True,0,,,2008002,Manual,manual,Nacional,,,0,
24,18,98549,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,100,True,0,,,2008002,Etiqueta Tampa,etiqueta_tampa,Nacional,,,0,
19,19,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,1,,,2006041,Estator,estator,Nacional,,,0,
20,19,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Sem fim,sem_fim,Nacional,,,0,
21,19,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Engrenagem,engrenagem,Nacional,,,0,
22,19,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,2,,,2006041,Capacitor,capacitor,Nacional,,,0,
23,19,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Placa,placa,Nacional,,,0,
24,19,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Base,base,Nacional,,,0,
25,19,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Tampa,tampa,Nacional,,,0,
26,19,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Manual,manual,Nacional,,,0,
27,19,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Cilindro e chave,cilindro_e_chave,Nacional,,,0,
28,19,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Etiqueta Tampa,etiqueta_tampa,Nacional,,,0,
20,20,98736,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,100,False,0,,,2008002,Estator,estator,Nacional,,,0,
21,20,98736,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,100,False,0,,,2008002,Calço,calco,Nacional,,,0,
22,20,98736,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,100,False,0,,,2008002,Rosca,rosca,Nacional,,,0,
23,20,98736,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,100,False,0,,,2008002,Capacitor,capacitor,Nacional,,,0,
24,20,98736,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,100,False,0,,,2008002,Jumper,jumper,Nacional,,,0,
25,20,98736,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,100,False,0,,,2008002,Kit,kit,Nacional,,,0,
26,20,98736,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,100,False,0,,,2008002,Manual,manual,Nacional,,,0,
27,20,98736,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,100,False,0,,,2008002,Etiqueta Interna,etiqueta_interna,Nacional,,,0,
28,20,98736,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,100,False,0,,,2008002,Etiqueta Tampa,etiqueta_tampa,Nacional,,,0,
29,20,98736,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,100,False,0,,,2008002,Etiqueta Externa,etiqueta_externa,Nacional,,,0,
30,20,98736,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,100,False,0,,,2008002,Base,base,Nacional,,,0,
31,20,98736,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,100,False,0,,,2008002,Carcaça,carcaca,Nacional,,,0,
32,20,98736,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,100,False,0,,,2008002,Parafusos Carcaça,parafusos_carcaca,Nacional,,,0,
33,20,98736,2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,100,False,0,,,2008002,Limpeza,limpeza,Nacional,,,0,
21,21,98587,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Estator,estator,Nacional,,,0,
22,21,98587,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Induzido,induzido,Nacional,,,0,
23,21,98587,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Calço,calco,Nacional,,,0,
24,21,98587,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Furo,furo,Nacional,,,0,
25,21,98587,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Capacitor,capacitor,Nacional,,,0,
26,21,98587,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Placa,placa,Nacional,,,0,
27,21,98587,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Jumper,jumper,Nacional,,,0,
28,21,98587,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Manual,manual,Nacional,,,0,
29,21,98587,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Etiqueta Interna,etiqueta_interna,Nacional,,,0,
30,21,98587,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Etiqueta Tampa,etiqueta_tampa,Nacional,,,0,
31,21,98587,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Etiqueta Externa,etiqueta_externa,Nacional,,,0,
32,21,98587,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Carcaça,carcaca,Nacional,,,0,
33,21,98587,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Parafusos Carcaça,parafusos_carcaca,Nacional,,,0,
34,21,98587,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Parafuso Lateral,parafuso_lateral,Nacional,,,0,
35,21,98587,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Limpeza,limpeza,Nacional,,,0,
22,22,98421,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Estator,estator,Nacional,,,0,
23,22,98421,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Induzido,induzido,Nacional,,,0,
24,22,98421,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Calço,calco,Nacional,,,0,
25,22,98421,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Furo,furo,Nacional,,,0,
26,22,98421,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Capacitor,capacitor,Nacional,,,0,
27,22,98421,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Placa,placa,Nacional,,,0,
28,22,98421,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Jumper,jumper,Nacional,,,0,
29,22,98421,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Kit,kit,Nacional,,,0,
30,22,98421,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Manual,manual,Nacional,,,0,
31,22,98421,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Etiqueta Interna,etiqueta_interna,Nacional,,,0,
32,22,98421,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Etiqueta Tampa,etiqueta_tampa,Nacional,,,0,
33,22,98421,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Etiqueta Externa,etiqueta_externa,Nacional,,,0,
34,22,98421,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Carcaça,carcaca,Nacional,,,0,
35,22,98421,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Parafusos Carcaça,parafusos_carcaca,Nacional,,,0,
36,22,98421,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Parafuso Lateral,parafuso_lateral,Nacional,,,0,
37,22,98421,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,50,False,0,,,2007089,Limpeza,limpeza,Nacional,,,0,
23,23,98783,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,100,False,0,,,2001161,Estator,estator,Nacional,,,0,
24,23,98783,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,100,False,0,,,2001161,Sem fim,sem_fim,Nacional,,,0,
25,23,98783,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,100,False,0,,,2001161,Engrenagem,engrenagem,Nacional,,,0,
26,23,98783,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,100,False,0,,,2001161,Capacitor,capacitor,Nacional,,,0,
27,23,98783,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,100,False,0,,,2001161,Placa,placa,Nacional,,,0,
28,23,98783,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,100,False,0,,,2001161,Encoder,encoder,Nacional,,,0,
29,23,98783,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,100,False,0,,,2001161,Kit,kit,Nacional,,,0,
30,23,98783,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,100,False,0,,,2001161,Tampa,tampa,Nacional,,,0,
31,23,98783,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,100,False,0,,,2001161,Manual,manual,Nacional,,,0,
32,23,98783,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,100,False,0,,,2001161,Cilindro,cilindro,Nacional,,,0,
33,23,98783,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,100,False,0,,,2001161,Etiqueta Interna,etiqueta_interna,Nacional,,,0,
34,23,98783,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,100,False,0,,,2001161,Etiqueta Tampa,etiqueta_tampa,Nacional,,,0,
35,23,98783,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,100,False,0,,,2001161,Etiqueta Externa,etiqueta_externa,Nacional,,,0,
36,23,98783,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,100,False,0,,,2001161,Limpeza,limpeza,Nacional,,,0,
24,24,97950,2001042,CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA,3,False,0,,,2001042,Estator,estator,Nacional,,,0,
25,24,97950,2001042,CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA,3,False,0,,,2001042,Sem fim,sem_fim,Nacional,,,0,
26,24,97950,2001042,CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA,3,False,0,,,2001042,Engrenagem,engrenagem,Nacional,,,0,
27,24,97950,2001042,CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA,3,False,0,,,2001042,Capacitor,capacitor,Nacional,,,0,
28,24,97950,2001042,CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA,3,False,0,,,2001042,Placa,placa,Nacional,,,0,
29,24,97950,2001042,CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA,3,False,0,,,2001042,Jumper,jumper,Nacional,,,0,
30,24,97950,2001042,CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA,3,False,0,,,2001042,Encoder,encoder,Nacional,,,0,
31,24,97950,2001042,CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA,3,False,0,,,2001042,Kit,kit,Nacional,,,0,
32,24,97950,2001042,CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA,3,False,0,,,2001042,Tampa,tampa,Nacional,,,0,
33,24,97950,2001042,CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA,3,False,0,,,2001042,Manual,manual,Nacional,,,0,
34,24,97950,2001042,CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA,3,False,0,,,2001042,Cilindro,cilindro,Nacional,,,0,
35,24,97950,2001042,CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA,3,False,0,,,2001042,Etiqueta Interna,etiqueta_interna,Nacional,,,0,
36,24,97950,2001042,CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA,3,False,0,,,2001042,Etiqueta Tampa,etiqueta_tampa,Nacional,,,0,
37,24,97950,2001042,CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA,3,False,0,,,2001042,Etiqueta Externa,etiqueta_externa,Nacional,,,0,
38,24,97950,2001042,CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA,3,False,0,,,2001042,Limpeza,limpeza,Nacional,,,0,
25,25,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Estator,estator,Nacional,,,0,
26,25,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Sem fim,sem_fim,Nacional,,,0,
27,25,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Engrenagem,engrenagem,Nacional,,,0,
28,25,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Capacitor,capacitor,Nacional,,,0,
29,25,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Placa,placa,Nacional,,,0,
30,25,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Encoder,encoder,Nacional,,,0,
31,25,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Kit,kit,Nacional,,,0,
32,25,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Tampa,tampa,Nacional,,,0,
33,25,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Módulo,modulo,Nacional,,,0,
34,25,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Manual,manual,Nacional,,,0,
35,25,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Cilindro,cilindro,Nacional,,,0,
36,25,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Etiqueta Interna,etiqueta_interna,Nacional,,,0,
37,25,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Etiqueta Tampa,etiqueta_tampa,Nacional,,,0,
38,25,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Etiqueta Externa,etiqueta_externa,Nacional,,,0,
39,25,99102,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Limpeza,limpeza,Nacional,,,0,
26,26,98734,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Estator,estator,Nacional,,,0,
27,26,98734,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Sem fim,sem_fim,Nacional,,,0,
28,26,98734,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Engrenagem,engrenagem,Nacional,,,0,
29,26,98734,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Capacitor,capacitor,Nacional,,,0,
30,26,98734,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Placa,placa,Nacional,,,0,
31,26,98734,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Encoder,encoder,Nacional,,,0,
32,26,98734,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Kit,kit,Nacional,,,0,
33,26,98734,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Tampa,tampa,Nacional,,,0,
34,26,98734,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Módulo,modulo,Nacional,,,0,
35,26,98734,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Manual,manual,Nacional,,,0,
36,26,98734,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Cilindro,cilindro,Nacional,,,0,
37,26,98734,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Etiqueta Interna,etiqueta_interna,Nacional,,,0,
38,26,98734,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Etiqueta Tampa,etiqueta_tampa,Nacional,,,0,
39,26,98734,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Etiqueta Externa,etiqueta_externa,Nacional,,,0,
40,26,98734,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,100,False,0,,,2006041,Limpeza,limpeza,Nacional,,,0,
27,27,97427,2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,100,False,0,,,2008004,Estator,estator,Nacional,,,0,
28,27,97427,2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,100,False,0,,,2008004,Induzido,induzido,Nacional,,,0,
29,27,97427,2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,100,False,0,,,2008004,Calço,calco,Nacional,,,0,
30,27,97427,2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,100,False,0,,,2008004,Rosca,rosca,Nacional,,,0,
31,27,97427,2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,100,False,0,,,2008004,Capacitor,capacitor,Nacional,,,0,
32,27,97427,2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,100,False,0,,,2008004,Jumper,jumper,Nacional,,,0,
33,27,97427,2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,100,False,0,,,2008004,Kit,kit,Nacional,,,0,
34,27,97427,2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,100,False,0,,,2008004,Manual,manual,Nacional,,,0,
35,27,97427,2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,100,False,0,,,2008004,Etiqueta Interna,etiqueta_interna,Nacional,,,0,
36,27,97427,2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,100,False,0,,,2008004,Etiqueta Tampa,etiqueta_tampa,Nacional,,,0,
37,27,97427,2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,100,False,0,,,2008004,Etiqueta Externa,etiqueta_externa,Nacional,,,0,
38,27,97427,2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,100,False,0,,,2008004,Base,base,Nacional,,,0,
39,27,97427,2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,100,False,0,,,2008004,Carcaça,carcaca,Nacional,,,0,
