Código,Modelo,Estator,Induzido,Sem fim,Calço,Rosca,Furo,Engrenagem,Capacitor,Placa,Jumper,Encoder,Rolamento,Kit,Tampa,Módulo,Manual,Cilindro,Etiqueta Interna,Etiqueta Tampa,Etiqueta Externa,Base,Carcaça,Parafusos Carcaça,Parafuso Lateral,Limpeza,Fuso,Engrenagem.1,Porca acionadora e fuso,Perfil,Adesivo,Kit 1,Kit 2,Cor da Etiqueta
2007092,Trino Pivô 4 220V - SEM ACIONAMENTO,P28 220V,P28 Com mola,,Sim,,Sim,,12uF,Flex,220V,,,Simples,,,Português - Light e Flex,,Código e OP,Pivo,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2009001,Pivo 3 127V - SEM ACIONAMENTO E SEM CENTRAL,P33 127V,P33 Com mola,,Não,,Sim,,25uF,Flex,127V,,,Simples,,,Português - Light e Flex,,Código e OP,Pivo,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2007017,"Trino Pivô 3 127V - 0,50m - Duplo",P33 127V,P33 Com mola,,Não,,Sim,,25uF,Duplo,127V,,,Duplo,,,Português - Light e Flex,,Código e OP,Pivo Duplo,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2007018,"Trino Pivô 3 220V - 0,50m - Duplo",P33 220V,P33 Com mola,,Não,,Sim,,12uF,Duplo,220V,,,Duplo,,,Português - Light e Flex,,Código e OP,Pivo Duplo,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2007019,"Trino Pivô 3 127V - 0,75m - Duplo",P33 127V,P33 Com mola,,Não,,Sim,,25uF,Duplo,127V,,,Duplo,,,Português - Light e Flex,,Código e OP,Pivo Duplo,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2007020,"Trino Pivô 3 220V - 0,75m - Duplo",P33 220V,P33 Com mola,,Não,,Sim,,12uF,Duplo,220V,,,Duplo,,,Português - Light e Flex,,Código e OP,Pivo Duplo,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2007021,Trino Pivô 3 220V - 1m - Duplo,P33 127V,P33 Com mola,,Não,,Sim,,25uF,Duplo,127V,,,Duplo,,,Português - Light e Flex,,Código e OP,Pivo Duplo,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2007022,Trino Pivô 3 220V - 1m - Duplo,P33 220V,P33 Com mola,,Não,,Sim,,12uF,Duplo,220V,,,Duplo,,,Português - Light e Flex,,Código e OP,Pivo Duplo,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2007023,"Trino Pivô 3 127V - 1,50m - Duplo",P33 127V,P33 Com mola,,Não,,Sim,,25uF,Duplo,127V,,,Duplo,,,Português - Light e Flex,,Código e OP,Pivo Duplo,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2007026,"Trino Pivô 4 220V - 0,50m - Duplo",P28 220V,P28 Com mola,,Sim,,Sim,,15uF,Duplo,220V,,,Duplo,,,Português - Light e Flex,,Código e OP,Pivo Duplo,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2007027,"Trino Pivô 4 127V - 0,75m - Duplo",P28 127V,P28 Com mola,,Sim,,Sim,,25uF,Duplo,127V,,,Duplo,,,Português - Light e Flex,,Código e OP,Pivo Duplo,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2007028,"Trino Pivô 4 220V - 0,75m - Duplo",P28 220V,P28 Com mola,,Sim,,Sim,,12uF,Duplo,220V,,,Duplo,,,Português - Light e Flex,,Código e OP,Pivo Duplo,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2007030,"Trino Pivô 4 220V - 1,00m - Duplo",P28 220V,P28 Com mola,,Sim,,Sim,,12uF,Duplo,220V,,,Duplo,,,Português - Light e Flex,,Código e OP,Pivo Duplo,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2007032,"Trino Pivô 4 220V - 1,5m - Duplo",P28 220V,P28 Com mola,,Sim,,Sim,,12uF,Duplo,220V,,,Duplo,,,Espanhol,,Código e OP,Pivo Duplo,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2007036,"Trino Pivô 3 220V - 0,75m - duplo EX",P33 220V,P33 Com mola,,Não,,Sim,,12uF,Duplo,220V,,,Duplo,,,Espanhol,,Código e OP,Pivo Duplo,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2007038,"Trino Pivô 3 220V - 1,00m - duplo EX",P33 220V,P33 Com mola,,Não,,Sim,,12uF,Duplo,220V,,,Duplo,,,Espanhol,,Código e OP,Pivo Duplo,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2007043,"Trino Pivô 4 127V - 0,75m - duplo EX",P28 127V,P28 Com mola,,Sim,,Sim,,25uF,Duplo,127V,,,Duplo,,,Espanhol,,Código e OP,Pivo Duplo,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2007044,"Trino Pivô 4 127V - 0,75m - duplo EX",P28 220V,P28 Com mola,,Sim,,Sim,,12uF,Duplo,220V,,,Duplo,,,Espanhol,,Código e OP,Pivo Duplo,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2007052,"Trino Pivô 3 220V - 1,5m - DUPLO EX",P33 220V 50Hz,P33 Com mola,,Não,,Sim,,12uF,Duplo,220V,,,Duplo,,,Português - Light e Flex,,Código e OP,Pivo Duplo,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2007084,"Trino Pivô 4 127V - 0,75m - duplo Teclan EX",P28 127V,P28 Com mola,,Sim,,Sim,,25uF,Duplo,127V,,,Duplo S/graxa s/logo,,,Espanhol,,Código e OP,Pivo Duplo,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2007087,Trino Pivô 3 127V - SEM ACIONAMENTO - DUPLO,P33 127V,P33 Com mola,,Não,,Sim,,25uF,Duplo,127V,,,Duplo,,,Português - Light e Flex,,Código e OP,Pivo Duplo,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2007089,Trino Pivô 3 220V - SEM ACIONAMENTO - DUPLO,P33 220V,P33 Com mola,,Não,,Sim,,12uF,Duplo,220V,,,Duplo,,,Português - Light e Flex,,Código e OP,Pivo Duplo,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2007091,Trino Pivô 4 127V - SEM ACIONAMENTO - DUPLO,P28 127V,P28 Com mola,,Sim,,Sim,,25uF,Duplo,127V,,,Duplo,,,Português - Light e Flex,,Código e OP,Pivo Duplo,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2007093,Trino Pivô 4 220V - SEM ACIONAMENTO - DUPLO,P28 220V,P28 Com mola,,Sim,,Sim,,12uF,Duplo,220V,,,Duplo,,,Português - Light e Flex,,Código e OP,Pivo Duplo,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2007097,Izzy Trino Pivô 3 220V - SEM ACIONAMENTO - DUPLO,P33 220V,P33 Com mola,,Não,,Sim,,12uF,Dupla Izzy,220V,,,Duplo,,,Português - Light e Flex,,Código e OP,Izzy,Código e OP,,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2006079,Inteligente Izzy Trino New BV 4 220V,P28 220V,P28 Sem mola,1 entrada,Sim,,,Nylon com imã,12uF,Izzy,,Sim,Plástico,Controle c/ Borne,Grafite,Chip e Capinha,QR Code,,Código e OP,Izzy,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2006081,Inteligente Izzy Trino New BV 4 Speed 220V,P28 220V,P28 Com mola,2 entradas,Sim,,,Nylon com imã,20uF,Izzy,,Sim,Plástico,Controle c/ Borne,Grafite,Chip e Capinha,QR Code,,Código e OP,Izzy,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2006082,Inteligente Izzy Trino New BV 3 Speed 220V,P28 220V,P33 Com mola,2 entradas,Sim,,,Nylon com imã,20uF,Izzy,,Sim,Plástico,Controle c/ Borne,Grafite,Chip e Capinha,QR Code,,Código e OP,Izzy,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2006092,Inteligente Izzy Trino New BV Heavy 127V,P39 127V,P39 Sem mola,1 entrada,Não,,,Nylon com imã,25uF,Izzy,,Sim,6004,Controle c/ Borne,Grafite,Chip e Capinha,QR Code,,Código e OP,Izzy,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2006094,Inteligente Izzy Trino New BV 3 127V,P33 127V,P33 Sem mola,1 entrada,Sim,,,Nylon com imã,25uF,Izzy,,Sim,Plástico,Controle c/ Borne,Preta,Chip e Capinha,QR Code,,Código e OP,Izzy,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2006080,Inteligente Izzy Trino New BV 3 220V,P33 220V,P33 Sem mola,1 entrada,Sim,,,Nylon com imã,12uF,Izzy,,Sim,Plástico,Controle c/ Borne,Preta,Chip e Capinha,QR Code,,Código e OP,Izzy,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2006086,Inteligente Izzy Trino New BV Heavy Speed 220V,P39 220V,P39 Com mola,2 entradas,Não,,,Nylon com imã,12uF,Izzy,,Sim,6004,Controle c/ Borne,,Chip e Capinha,QR Code,,Código e OP,Izzy,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2006103,Izzy New BV Heavy 127V EX,P39 127V,P39 Sem mola,1 entrada,Não,,,Nylon com imã,30uF,Izzy,,Sim,6004,Controle c/ Borne,,Chip e Capinha,QR Code,,Código e OP,Izzy,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2008026,Trino New BV 4 127V,P28 127V,P28 Sem mola,1 entrada,Sim,,,Nylon sem imã,25uF,Flex,,Não,Plástico,Controle c/ Borne,,,Português - Light e Flex,,Código e OP,New NB 4,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2014019,Kit reposição do movimentador de Placa Solar,P39 220V,P39 Sem mola,1 entrada,Não,,,Zamac com imã,15uF,-,,Não,6004,Controle c/ Borne,,,Português - Light e Flex,,Código e OP,-,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2008027,Trino New BV 4 220V,P28 220V,P28 Sem mola,1 entrada,Sim,,,Nylon sem imã,12uF,Flex,220V,Não,Plástico,Controle c/ Borne,,,Português - Light e Flex,,Código e OP,New NB 4,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2008028,Trino New BV 3 127V,P28 127V,P33 Sem mola,1 entrada,Sim,,,Nylon sem imã,25uF,Flex,220V,Não,Plástico,Controle c/ Borne,,,Português - Light e Flex,,Código e OP,New NB 4,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2008029,Trino New BV3 220V,P33 220V,P33 Sem mola,1 entrada,Sim,,,Nylon sem imã,12uF,Flex,127V,Não,Plástico,Controle c/ Borne,,,Português - Light e Flex,,Código e OP,New BV 3,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2008031,Trino New BV 4 Speed 220V,P28 220V,P28 Com mola,2 entradas,Sim,,,Nylon sem imã,20uF,Flex,220V,Não,Plástico,Controle c/ Borne,,,Português - Light e Flex,,Código e OP,New BV4 Speed,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2008032,Trino New BV 3 Speed 127V,P33 127V,P33 Com mola,2 entradas,Sim,,,Nylon sem imã,50uF,Flex,127V,Não,Plástico,Controle c/ Borne,,,Português - Light e Flex,,Código e OP,New BV3 Speed,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2008033,Trino New BV 3 Speed 220V,P33 220V,P33 Com mola,2 entradas,Sim,,,Nylon sem imã,20uF,Flex,127V,Não,Plástico,Controle c/ Borne,,,Português - Light e Flex,,Código e OP,New BV3 Speed,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2008034,Trino New BV Light 127V,P17 127V,P17 Sem mola,1 entrada,Sim,,,Nylon sem imã,25uF,Light,,Não,Plástico,Controle c/ Borne,,,Português - Light e Flex,,Código e OP,NBV Light,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2008035,Trino New BV Light 220V,P17 220V ,P17 Sem mola,1 entrada,Sim,,,Nylon sem imã,12uF,Light,,Não,Plástico,Controle c/ Borne,,,Português - Light e Flex,,Código e OP,NBV Light,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2008039,BV Speed Turbo Pro 1/2HP Frequency Inverter Bivolt,P39 Trifásico,P39 Sem mola,1 entrada,Não,,,Nylon com imã,Não usa,New Inverter,,Não,6004,Controle c/ Borne,,,Português - New Inverter - sem logo,,Código e OP,Speed Turbo Pro,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2008042,Trino New BV Heavy 220V,P39 220V,P39 Sem mola,1 entrada,Não,,,Nylon sem imã,12uF,Flex,220V,Não,6004,Controle c/ Borne,,,Português - Light e Flex,,Código e OP,New BV Heavy,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2008043,Trino New BV Heavy Speed 127V,P39 127V,P39 Com mola,2 entradas,Não,,,Nylon sem imã,50uF,Flex,127V,Não,6004,Controle c/ Borne,,,Português - Light e Flex,,Código e OP,New BV Heavy Speed,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2008044,Trino New BV Heavy Speed 220V,P39 220V,P39 Com mola,2 entradas,Não,,,Nylon sem imã,20uF,Flex,220V,Não,6004,Controle c/ Borne,,,Português - Light e Flex,,Código e OP,New BV Heavy Speed,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2008047,BV Speed Turbo Pro 1/2HP Frequency Inverter Bivolt EX,P39 Trifásico,P39 Sem mola,1 entrada,Não,,,Nylon com imã,Não usa,New Inverter,,Não,6004,Controle c/ Borne,,,Espanhol - New Inverter - sem logo,,Código e OP,Speed Turbo Pro,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2008077,BV Speed Turbo Pro 1/2HP Frequency Inverter Bivolt S/CENTRAL,P39 Trifásico,P39 Sem mola,1 entrada,Não,,,Nylon com imã,-,-,,Não,6004,Controle c/ Borne,,,Português - New Inverter - sem logo,,Código e OP,Speed Turbo Pro,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2008085,New BV Cadena 1/3HP 220V,P33 220V,P33 Sem mola,1 entrada,Sim,,,Nylon com imã,15uF,Flex,,Não,Aço,Controle c/ Borne,,,Português - Light e Flex,,Código e OP,New BV 3,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2008091,BV Speed Turbo Pro Light 1/5HP Frequency Inverter Bivolt EX,P17 127V Trifásico,P17 Sem mola,1 entrada,Sim,,,Nylon com imã,Não usa,New Inverter,,Não,6004,Controle c/ Borne,,,Espanhol - New Inverter - sem logo,,Código e OP,Speed Turbo Pro,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2006093,Inteligente Izzy Trino New BV 3 Speed 127V,P33 127V,P33 Com mola,2 entradas,Sim,,,Nylon com imã,50uF,Izzy,,Sim,Plástico,Controle c/ Borne,,,QR Code,,Código e OP,Izzy,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2008062,Trino New BV Light 220V EX,P17 220V ,P17 Sem mola,1 entrada,Sim,,,Nylon sem imã,20uF,Light,,Não,Plástico,Controle c/ Borne,,,Espanhol - Light e Flex,,Código e OP,NBV Light,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2008086,New BV Cadena 1/2HP 220V,P39 220V,P39 Sem mola,1 entrada,Não,,,Nylon com imã,15uF,Flex,220V,Não,Aço,Controle c/ Borne,,,Português - Light e Flex,,Código e OP,BV Cadena,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2008102,New BV Cadena 1/2HP 220V EX,P39 220V 50Hz,P39 Sem mola,1 entrada,Não,,,Nylon com imã,15uF,Flex,220V,Não,Aço,Controle c/ Borne,,,Espanhol - Light e Flex,,Código e OP,BV Cadena,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2008030,Trino New BV 4 Speed 127V,P28 127V,P28 Com mola,,Sim,,,Nylon sem imã,50uF,Flex,220V,Não,Plástico,Controle c/ Borne,,,Português - Light e Flex,,Código e OP,New BV4 Speed,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,Está com todos os parafusos?,Está ok?,,,,,,,,
2008003,Trino BV 4 127V,P28 127V,P28 Sem mola,,Sim,Possui Rosca?,,,25uF/30uF,,127V,,,Controle c/ Borne,,,Português - Light e Flex,,Código e OP,Basculante,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,,Está ok?,,,,,,,,
2008004,Trino BV 4 220V,P28 220V,P28 Sem mola,,Sim,Possui Rosca?,,,12uF/15uF,,220V,,,Controle c/ Borne,,,Português - Light e Flex,,Código e OP,Basculante,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,,Está ok?,,,,,,,,
2008022,Trino BV 4 220V EX,P28 220V 50Hz,P28 Sem mola,,Sim,Possui Rosca?,,,12uF/15uF,,220V,,,Controle c/ Borne,,,Espanhol,,Código e OP,Basculante,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,,Está ok?,,,,,,,,
2008001,Trino BV 3 127V,P33 127V,P33 Sem mola,,Sim,Possui Rosca?,,,25uF/30uF,,127V,,,Controle c/ Borne,,,Português - Light e Flex,,Código e OP,Basculante,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,,Está ok?,,,,,,,,
2008002,Trino BV 3 220V,P33 220V,P33 Sem mola,,Não,Possui Rosca?,,,12uF/15uF,,220V,,,Controle c/ Borne,,,Português - Light e Flex,,Código e OP,Basculante,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,,Está ok?,,,,,,,,
2008094,Trino BV 3 220V - CONDOMINIAL 1000,P33 220V,P33 Sem mola,,Não,Possui Rosca?,,,12uF/15uF,,220V,,,Controle c/ Borne,,,Português - Light e Flex,,Código e OP,Basculante,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,,Está ok?,,,,,,,,
2008025,Trino BV 3 220V EX,P33 220V 50hz,P33 Sem mola,,Não,Possui Rosca?,,,12uF/15uF,,220V,,,Controle c/ Borne,,,Espanhol,,Código e OP,Basculante,Código e OP,Está Fime?,Está conforme?,Bem parafusado?,,Está ok?,,,,,,,,
2009501,"PIVOTANTE 0,5M REPOSIÇÃO",,,,,,,,,,,,,,,,,,,,,,,,,,2 ENTRADAS PIVO,NYLON PIVO,2 ENTRADAS PIVO,Perfil Fino,-,Graxa e Parafuso,-,BRANCA
2009502,"PIVOTANTE 0,75M REPOSIÇÃO",,,,,,,,,,,,,,,,,,,,,,,,,,2 ENTRADAS PIVO,NYLON PIVO,2 ENTRADAS PIVO,Perfil Fino,-,Graxa e Parafuso,-,BRANCA
2009503,"PIVOTANTE 1,0M REPOSIÇÃO",,,,,,,,,,,,,,,,,,,,,,,,,,2 ENTRADAS PIVO,NYLON PIVO,2 ENTRADAS PIVO,Perfil Fino,-,Graxa e Parafuso,-,BRANCA
2009504,"PIVOTANTE 1,5M REPOSIÇÃO",,,,,,,,,,,,,,,,,,,,,,,,,,2 ENTRADAS PIVO,NYLON PIVO,2 ENTRADAS PIVO,Perfil Fino,-,Graxa e Parafuso,-,BRANCA
2009508,"PIVOTANTE 0,50M",,,,,,,,,,,,,,,,,,,,,,,,,,2 ENTRADAS PIVO,Acoplamento,2 ENTRADAS PIVO,Perfil Fino,-,Graxa e Parafuso,-,BRANCA
2009509,"PIVOTANTE 0,75M",,,,,,,,,,,,,,,,,,,,,,,,,,2 ENTRADAS PIVO,Acoplamento,2 ENTRADAS PIVO,Perfil Fino,-,Graxa e Parafuso,-,BRANCA
2009510,"PIVOTANTE 1,0M",,,,,,,,,,,,,,,,,,,,,,,,,,2 ENTRADAS PIVO,Acoplamento,2 ENTRADAS PIVO,Perfil Fino,-,Graxa e Parafuso,-,BRANCA
2009511,"PIVOTANTE 1,5M",,,,,,,,,,,,,,,,,,,,,,,,,,2 ENTRADAS PIVO,Acoplamento,2 ENTRADAS PIVO,Perfil Fino,-,Graxa e Parafuso,-,BRANCA
2008501,"TRINO BV 1,5M",,,,,,,,,,,,,,,,,,,,,,,,,,4 ENTRADAS,NYLON BV,4 ENTRADAS BV,Perfil Fino,BV CONVENCIONAL,Suporte BV com Kit de Fixação,Braço Articulado (Maior),AMARELA
2008502,"TRINO BV 2,0M",,,,,,,,,,,,,,,,,,,,,,,,,,4 ENTRADAS,NYLON BV,4 ENTRADAS BV,Perfil Fino,BV CONVENCIONAL,Suporte BV com Kit de Fixação,Braço Articulado (Maior),AMARELA
2008503,"TRINO BV 2,5M",,,,,,,,,,,,,,,,,,,,,,,,,,4 ENTRADAS,NYLON BV,4 ENTRADAS BV,Perfil Fino,BV CONVENCIONAL,Suporte BV com Kit de Fixação,Braço Articulado (Maior),AMARELA
2008504,"TRINO BV 3,0M",,,,,,,,,,,,,,,,,,,,,,,,,,4 ENTRADAS,NYLON BV,4 ENTRADAS BV,Perfil Fino,BV CONVENCIONAL,Suporte BV com Kit de Fixação,Braço Articulado (Maior),AMARELA
2008505,"TRINO BV 3,5M",,,,,,,,,,,,,,,,,,,,,,,,,,4 ENTRADAS,NYLON BV,4 ENTRADAS BV,Perfil Grosso,BV CONVENCIONAL,Suporte BV com Kit de Fixação,Braço Articulado (Maior),AMARELA
2008506,"TRINO BV 4,0M",,,,,,,,,,,,,,,,,,,,,,,,,,4 ENTRADAS,NYLON BV,4 ENTRADAS BV,Perfil Grosso,BV CONVENCIONAL,Suporte BV com Kit de Fixação,Braço Articulado (Maior),AMARELA
2008511,"TRINO BV 4,5M",,,,,,,,,,,,,,,,,,,,,,,,,,4 ENTRADAS,NYLON BV,4 ENTRADAS BV,Perfil Grosso,BV CONVENCIONAL,Suporte BV com Kit de Fixação,Braço Articulado (Maior),AMARELA
2008512,"TRINO BV 5,0M",,,,,,,,,,,,,,,,,,,,,,,,,,4 ENTRADAS,NYLON BV,4 ENTRADAS BV,Perfil Grosso,BV CONVENCIONAL,Suporte BV com Kit de Fixação,Braço Articulado (Maior),AMARELA
2008513,"TRINO BV 6,0M",,,,,,,,,,,,,,,,,,,,,,,,,,4 ENTRADAS,NYLON BV,4 ENTRADAS BV,Perfil Grosso,BV CONVENCIONAL,Suporte BV com Kit de Fixação,Braço Articulado (Maior),AMARELA
2008514,"TRINO BV 1,75M",,,,,,,,,,,,,,,,,,,,,,,,,,4 ENTRADAS,NYLON BV,4 ENTRADAS BV,Perfil Fino,BV CONVENCIONAL,Suporte BV com Kit de Fixação,Braço Articulado (Maior),AMARELA
2008516,"TRINO BV 1,4M",,,,,,,,,,,,,,,,,,,,,,,,,,4 ENTRADAS,NYLON BV,4 ENTRADAS BV,Perfil Fino,BV CONVENCIONAL,Suporte BV com Kit de Fixação,Braço Articulado (Maior),AMARELA
2008520,"TRINO BV 1,5M EX",,,,,,,,,,,,,,,,,,,,,,,,,,4 ENTRADAS,NYLON BV,4 ENTRADAS BV,Perfil Fino,BV CONVENCIONAL,Suporte BV com Kit de Fixação,Braço Articulado (Maior),AMARELA
2008557,"TRINO BV 1,5M BELPORTAS",,,,,,,,,,,,,,,,,,,,,,,,,,4 ENTRADAS,NYLON BV,4 ENTRADAS BV,Perfil Fino,BV CONVENCIONAL,Suporte BV com Kit de Fixação,Braço Articulado (Maior),AMARELA
2008507,"TRINO BV SPEED 1,5M",,,,,,,,,,,,,,,,,,,,,,,,,,5 ENTRADAS,NYLON BV,5 ENTRADAS BV,Perfil Fino,SPEED,Suporte BV com Kit de Fixação,Braço Articulado (Maior),VERDE
2008508,"TRINO BV SPEED 2,0M",,,,,,,,,,,,,,,,,,,,,,,,,,5 ENTRADAS,NYLON BV,5 ENTRADAS BV,Perfil Fino,SPEED,Suporte BV com Kit de Fixação,Braço Articulado (Maior),VERDE
2008509,"TRINO BV SPEED 2,5M",,,,,,,,,,,,,,,,,,,,,,,,,,5 ENTRADAS,NYLON BV,5 ENTRADAS BV,Perfil Fino,SPEED,Suporte BV com Kit de Fixação,Braço Articulado (Maior),VERDE
2008510,"TRINO BV SPEED 3,0M",,,,,,,,,,,,,,,,,,,,,,,,,,5 ENTRADAS,NYLON BV,5 ENTRADAS BV,Perfil Fino,SPEED,Suporte BV com Kit de Fixação,Braço Articulado (Maior),VERDE
2008515,"TRINO BV SPEED 1,75M",,,,,,,,,,,,,,,,,,,,,,,,,,5 ENTRADAS,NYLON BV,5 ENTRADAS BV,Perfil Fino,SPEED,Suporte BV com Kit de Fixação,Braço Articulado (Maior),VERDE
2008518,"TRINO BV SPEED 4,0M",,,,,,,,,,,,,,,,,,,,,,,,,,5 ENTRADAS,NYLON BV,5 ENTRADAS BV,Perfil Grosso,SPEED,Suporte BV com Kit de Fixação,Braço Articulado (Maior),VERDE
2008519,"TRINO BV SPEED 3,5M",,,,,,,,,,,,,,,,,,,,,,,,,,5 ENTRADAS,NYLON BV,5 ENTRADAS BV,Perfil Grosso,SPEED,Suporte BV com Kit de Fixação,Braço Articulado (Maior),VERDE
2008521,"TRINO BV SPEED 1,5M EX",,,,,,,,,,,,,,,,,,,,,,,,,,5 ENTRADAS,NYLON BV,5 ENTRADAS BV,Perfil Fino,SPEED,Suporte BV com Kit de Fixação,Braço Articulado (Maior),VERDE
2008530,"TRINO BV SPEED 4,5M",,,,,,,,,,,,,,,,,,,,,,,,,,5 ENTRADAS,NYLON BV,5 ENTRADAS BV,Perfil Grosso,SPEED,Suporte BV com Kit de Fixação,Braço Articulado (Maior),VERDE
