CÓD DO PRODUTO,DESCRIÇÃO,CENTRAL,CARENAGEM,ESTATOR E SEM FIM,CAPACITOR,KIT DE INSTALAÇÃO
2007029,CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 127V - 1M - DUPLO,DUPLO,PRETA PIVO,P28 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT DUPLO
2007030,CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 220V - 1M - DUPLO,DUPLO,PRETA PIVO,P28 220V COM MOLA E SEM FIM BV 2 ENT,12UF,KIT DUPLO
2007031,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 127V - 1,5M - DUPLO",DUPLO,PRETA PIVO,P28 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT DUPLO
2007032,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 220V - 1,5M - DUPLO",DUPLO,PRETA PIVO,P28 220V COM MOLA E SEM FIM BV 2 ENT,12UF,KIT DUPLO
2007055,"CONJUNTO MOVIMENTADOR TRINO PIVO 4 127V - 2,0M",FLEX,PRETA PIVO,P28 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT SIMPLES
2007056,"CONJUNTO MOVIMENTADOR TRINO PIVO 4 220V - 2,0M",FLEX,PRETA PIVO,P28 220V COM MOLA E SEM FIM BV 2 ENT,12UF,KIT SIMPLES
2007058,"CONJUNTO MOVIMENTADOR TRINO PIVO 4 220V - 2,0M - DUPLO",DUPLO,PRETA PIVO,P28 220V COM MOLA E SEM FIM BV 2 ENT,12UF,KIT DUPLO
2007059,"CONJUNTO MOVIMENTADOR TRINO PIVO 3 127V - 2,0M",FLEX,PRETA PIVO,P33 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT SIMPLES
2007060,"CONJUNTO MOVIMENTADOR TRINO PIVO 3 220V - 2,0M",FLEX,PRETA PIVO,P33 220V COM MOLA E SEM FIM BV 2 ENT,12UF,KIT SIMPLES
2007063,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V - 1M - DUPLO - CONDOMINIAL 300,DUPLO,PRETA PIVO,P33 220V COM MOLA E SEM FIM BV 2 ENT,12UF,KIT DUPLO
2007065,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V - 1M - DUPLO - CONDOMINIAL 200,DUPLO,PRETA PIVO,P33 220V COM  MOLA E SEM FIM BV 2 ENT,12UF,KIT DUPLO
2009001,CONJ. MOVIMENTADOR TRINO PIVO 3 127V SEM ACIONAMENTO E SEM CENTRAL,FLEX,PRETA PIVO,P33 127V COM MOLA E SEM FIM BV 2 ENT,30UF,SEM KIT
2009002,CONJ. MOVIMENTADOR TRINO PIVO 3 220V SEM ACIONAMENTO E SEM CENTRAL,FLEX,PRETA PIVO,P33 220V COM MOLA E SEM FIM BV 2 ENT,12UF,SEM KIT
2009003,CONJ. MOVIMENTADOR TRINO PIVO 4 127V SEM ACIONAMENTO E SEM CENTRAL,FLEX,PRETA PIVO,P28 127V COM MOLA E SEM FIM BV 2 ENT,30UF,SEM KIT
2009004,CONJ. MOVIMENTADOR TRINO PIVO 4 220V SEM ACIONAMENTO E SEM CENTRAL,FLEX,PRETA PIVO,P28 220V COM MOLA E SEM FIM BV 2 ENT,12UF,SEM KIT
2007070,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 127V - 0,50M - DUPLO DOOR LINE AUTOMATIC EX",DUPLO,PRETA PIVO,P28 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT DUPLO
2007071,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 127V - 0,75M - DUPLO DOOR LINE AUTOMATIC EX",DUPLO,PRETA PIVO,P28 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT DUPLO
2007072,CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 127V - 1M - DUPLO DOOR LINE AUTOMATIC EX,DUPLO,PRETA PIVO,P28 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT DUPLO
2009005,CONJ. MOVIMENTADOR TRINO PIVO 4 127V SEM ACIONAMENTO E SEM CENTRAL DOOR LINE EX,SEM CENTRAL,NÃO USA,P28 127V COM MOLA E SEM FIM BV 2 ENT,12UF,SEM KIT
2007035,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V - 0,75M - DUPLO EX",DUPLO,PRETA PIVO,P33 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT DUPLO
2007037,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V - 1M - DUPLO EX,DUPLO,PRETA PIVO,P33 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT DUPLO
2007073,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V - 1,5M - DUPLO PANTHER EX",DUPLO,PRETA PIVO,P33 220V 50HZ COM MOLA E SEM FIM BV 2 ENT,12UF,KIT DUPLO
2007038,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V - 1M - DUPLO EX,DUPLO,PRETA PIVO,P33 220V 50HZ COM MOLA E SEM FIM BV 2 ENT,12UF,KIT DUPLO
2007044,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 220V - 0,75M - DUPLO EX",DUPLO,PRETA PIVO,P28 220V 50HZ COM MOLA E SEM FIM BV 2 ENT,12UF,KIT DUPLO
2007049,CONJUNTO MOVIMENTADOR TRINO PIVO 3 220V - 1M EX,FLEX,PRETA PIVO,P33 220V 50HZ COM MOLA E SEM FIM BV 2 ENT,12UF,KIT SIMPLES
