Departamento,Unnamed: 1,Descrição,Seção,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Estoque mínimo,Estoque Máximo,Curva,Unnamed: 17,Estoque min,Estoque max,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Carteira
MOTORES,2010207,MANCAL BASCULANTE COMPLETO,REPOSIÇÃO E DIVERSOS -MOTOR,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-8,-23,C,0,7,22,0,0,0,0,0,0,,0x17
MOTORES,2008001,CONJ. MOVIMENTADOR TRINO BV3 127V SEM ACIONAMENTO,BASCULANTE BV,0,0,-13,-15,-28,-38,-38,-38,-38,-38,-109,-251,A,0,71,213,0,0,0,0,0,0,,0x17
MOTORES,2001036,CONJ. MOVIMENTADOR TRINO 500 220V 50-60HZ SEM CREMALHEIRA,DESLIZANTE TRINO,0,0,-10,-60,-74,-74,-74,-74,-74,-74,-160,-332,A,95,86,258,0,0,0,0,0,0,,0x17
MOTORES,2008527,"ACIONAMENTO MOVIMENTADOR TRINO NEW BV 1,5M",ACIONAMENTOS DE MOTORES,0,0,-6,-90,-113,-113,-113,-118,-123,-123,-526,-1333,A,111,403,1210,0,0,0,0,0,0,,0x17
MOTORES,2001042,CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA,DESLIZANTE TRINO,0,0,-6,-16,-16,-16,-16,-16,-16,-16,-34,-69,A,26,18,53,0,0,0,0,0,0,,0x17
MOTORES,2013505,"ACIONAMENTO MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 4,0M",ACIONAMENTOS DE MOTORES,0,0,-1,-3,-3,-5,-5,-5,-5,-5,-9,-18,C,5,4,13,0,0,0,0,0,0,,
MOTORES,2008046,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO - CONDOMINIAL 200,BASCULANTE BV,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,C,0,0,0,0,0,0,0,0,0,,0x17
MOTORES,2001299,CONJ. MOVIMENTADOR DZ INDUSTRIAL STRONG 1000KG 220V 50-60HZ SEM CREMALHEIRA,DESLIZANTE TRINO,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-2,-3,C,0,1,2,0,0,0,0,0,0,,
MOTORES,2006041,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA,DESLIZANTE INTELIGENTE IZZY,0,0,0,-500,-820,-820,-820,-1130,-1430,-2330,-3124,-4713,A,5,794,2383,0,0,0,0,0,0,,0x17
MOTORES,2009509,"ACIONAMENTO P/ MOVIMENTADOR TRINO PIVÔ 0,75M",ACIONAMENTOS DE MOTORES,0,0,0,-492,-508,-508,-508,-508,-1508,-2008,-2351,-3036,C,865,343,1028,0,0,0,0,0,0,,0x17
