CÓD DO PRODUTO,DESCRIÇÃO,CENTRAL,BASE,ENGRENAGEM,ESTATOR E SEM FIM,CAPACITOR,TAMPA,CILINDRO,CONTROLE,Unnamed: 10
2006066,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 500 220V 50-60HZ - CONDOMINIAL 100,IZZY,COM ENCODER,NYLON 1 ENT COM IMÃ,P28 220V 1 ENT,12UF,GRAFITE,METAL,COM BORNE,
2006067,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 700 127V 50-60HZ SEM CREMALHEIRA,IZZY,COM ENCODER,ZAMAC 1 ENT COM IMÃ,P33 127V 1 ENT,30UF,GRAFITE,METAL,COM BORNE,
2006068,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 700 220V 50-60HZ SEM CREMALHEIRA,IZZY,COM ENCODER,ZAMAC 1 ENT COM IMÃ,P33 220V 1 ENT,12UF,GRAFITE,METAL,COM BORNE,
2006087,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA C B. ALUM EX,IZZY,B. ALUM C/ ENCODER,NYLON 1 ENT COM IMÃ,P17 220V 50HZ 1 ENT,12UF,GRAFITE,METAL ,COM BORNE,
2001221,CONJ. MOVIMENTADOR DZ INDUSTRIAL STRONG 2000KG 220V 50-60HZ SEM CREMALHEIRA,CCMD INDUSTRIAL,ALUMÍNIO IND,NYLON IND COM IMÃ,P80 220V,20UF,PRETA IND,METAL IND,COM BORNE,
2001237,CONJ. MOVIMENTADOR TRINO SPEED TURBO PRO 1/2 FREQUENCY INVERTER BIVOLT 50-60HZ B. ALUM. S. CREMALHEI,NEW INVERTER,ALUMIN C/ENCODER,NYLON 1 ENT COM IMÃ,P39 110V TRIF 1 ENT,NÃO USA,CINZA C/ VENEZIANA,METAL,COM BORNE,
2001157,CONJ. MOVIMENTADOR TRINO SPEED TURBO PRO 1/4 FREQUENCY INVERTER BIVOLT 50-60HZ,NEW INVERTER,ALUMIN C/ENCODER,NYLON 1 ENT COM IMÃ,P24 110V TRIF 1 ENT,NÃO USA,CINZA C/ VENEZIANA,METAL,COM BORNE,
2001207,CONJ. MOVIMENTADOR TRINO SPEED TURBO PRO 1/4 FREQUENCY INVERTER BIVOLT 50-60HZ ALUMINIUM - SEM CRE,NEW INVERTER,ALUMIN C/ENCODER,NYLON 1 ENT COM IMÃ,P24 110V TRIF 1 ENT,NÃO USA,CINZA C/ VENEZIANA,METAL,COM BORNE,
2001204,CONJ. MOVIMENTADOR TRINO SPEED TURBO PRO 1/4 FREQUENCY INVERTER BIVOLT 50-60HZ B. ALUMINIUM,NEW INVERTER,ALUMIN C/ENCODER,NYLON 1 ENT COM IMÃ,P24 110V TRIF 1 ENT,NÃO USA,CINZA C/ VENEZIANA,METAL,COM BORNE,
2006097,CONJ. MOVIMENTADOR INTELIGENTE - IZZY DZ INDUSTRIAL STRONG 2000KG 220V 50-60HZ S/CREMALH PANTHER EX,IZZY INDUSTRIAL,ALUMÍNIO IND,NYLON IND COM IMÃ,P80 220V,20UF,PRETA IND,METAL ,COM BORNE,
2006050,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 500 127V 50-60HZ C/ CREMALHEIRA 3MT EX,IZZY,COM ENCODER,NYLON 1 ENT COM IMÃ,P28 127V 1 ENT,30UF,GRAFITE,METAL ,COM BORNE,
2006089,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 500 127V 50-60HZ COM B. ALUMINIUM C/ CREMALHEIRA 3MT EX,IZZY,B. ALUM C/ ENCODER,NYLON 1 ENT COM IMÃ,P28 127V 1 ENT,30UF,GRAFITE,METAL ,COM BORNE,
2006090,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 900 127V 50-60HZ COM B. ALUMINIUM C/ CREMALHEIRA 3MT EX,IZZY,B. ALUM C/ ENCODER,ZAMAC 1 ENT COM IMÃ,P45 127V 1 ENT,50UF,GRAFITE C/ VENEZIANA,METAL ,COM BORNE,
2001251,CONJ. MOVIMENTADOR TRINO SPEED TURBO PRO 1/2 FREQUENCY INVERTER BIVOLT 50-60HZ B. ALUMINIUM,NEW INVERTER,ALUMIN C/ENCODER,NYLON 1 ENT COM IMÃ,P39 110V TRIF 1 ENT,NÃO USA,CINZA C/ VENEZIANA,METAL,COM BORNE,
2001222,CONJ. MOVIMENTADOR DZ INDUSTRIAL STRONG 2000KG 220V 50-60HZ SEM CREMALHEIRA EX,CCMD INDUSTRIAL,ALUMÍNIO IND,NYLON IND COM IMÃ,P80 220V,20UF,PRETA IND,METAL ,COM BORNE,
2006045,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 SPEED 220V 50-60HZ COM  B. ALUMINIUM C/ CREMALHEIRA 3MT EX,IZZY,B. ALUM C/ ENCODER,ZAMAC 2 ENT COM IMÃ,P33 220V 50HZ 2 ENT,20UF,BRANCA,METAL ,COM BORNE,
2006046,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 500 SPEED 220V 50-60HZ COM  B. ALUMINIUM C/ CREMALHEIRA 3MT EX,IZZY,B. ALUM C/ ENCODER,ZAMAC 2 ENT COM IMÃ,P45 220V 50HZ 2 ENT,20UF,BRANCA C/ VENEZIANA,METAL ,COM BORNE,
2006049,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 127V 50-60HZ C/ CREMALHEIRA 3MT EX,IZZY,COM ENCODER,NYLON 1 ENT COM IMÃ,P17 127V 1 ENT,30UF,GRAFITE,METAL ,COM BORNE,
2006078,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 500 220V 50-60HZ COM B. ALUM. PANTHER C/ CREMALHEIRA 3MT EX,IZZY,B. ALUM C/ ENCODER,NYLON 1 ENT COM IMÃ,P28 220V 50HZ 1 ENT,12UF,GRAFITE,METAL ,COM BORNE,
2006047,CONJ. MOVIMENTADOR INTELIGENTE - IZZY 500 220V 50-60HZ COM B. ALUMINIUM C/ CREMALHEIRA 3MT EX,IZZY,B. ALUM C/ ENCODER,NYLON 1 ENT COM IMÃ,P28 220V 50HZ 1 ENT,12UF,GRAFITE,METAL ,COM BORNE,
2001283,CONJ. MOVIMENTADOR DZ BRABUS SPEED LIGHT 127V 50-60HZ,FX BRABUS,COM ENCODER,NYLON 1 ENT COM IMÃ,P22 127V 2 POLOS 1 ENT (AÇO),40UF,PRETA C/ VENEZIANA,PLÁSTICO,COM BORNE,
2001284,CONJ. MOVIMENTADOR DZ BRABUS SPEED LIGHT 220V 50-60HZ,FX BRABUS,COM ENCODER,NYLON 1 ENT COM IMÃ,P22 220V 2 POLOS 1 ENT (AÇO),20UF,PRETA C/ VENEZIANA,PLÁSTICO,COM BORNE,
2001287,CONJ. MOVIMENTADOR SPEED 700 220V 50-60HZ COM B. ALUMINIUM SEM CREMALHEIRA C/ CREMALHEIRA 3MT EX,FX BRABUS,B. ALUM C/ ENCODER,NYLON 1 ENT COM IMÃ,P39 220V 2 POLOS 50HZ 1 ENT (AÇO),20UF,PRETA,METAL ,COM BORNE,
2001288,CONJ. MOVIMENTADOR TRINO 800 SDOOR 220V 50-60HZ COM B. ALUMINIUM SEM CREMALHEIRA EX,FLEX,B. ALUM C/ ENCODER,ZAMAC 1 ENT COM IMÃ,P45 220V 50HZ 1 ENT (AÇO),12UF,PRETA C/ VENEZIANA,METAL ,COM BORNE,
2001289,CONJ. MOVIMENTADOR DZ BRABUS SPEED 600 SDOOR B. ALUMINIUM 220V 50-60HZ SEM CREMALH EX,FX BRABUS,B. ALUM C/ ENCODER,NYLON 1 ENT COM IMÃ,P28 220V 2 POLOS 1 ENT (AÇO),20UF,PRETA C/ VENEZIANA,METAL ,COM BORNE,
2001290,CONJ.MOVIMENTADOR DZ BRABUS SPEED 800 SDOOR B. ALUMINIUM 220V 50-60HZ SEM CREMALH EX,FX BRABUS,B. ALUM C/ ENCODER,NYLON 1 ENT COM IMÃ,P39 220V 2 POLOS 1 ENT (AÇO),20UF,PRETA C/ VENEZIANA,METAL ,COM BORNE,
2001292,CONJ.MOV TRINO SPEED TURBO PRO 600 SDOOR 220V INVERTER BIVOLT 50-60HZ B.ALUM SEM CREM EX,NEW INVERTER,ALUMIN C/ENCODER,NYLON 1 ENT COM IMÃ,P24 110V TRIF 1 ENT (AÇO),NÃO USA,CINZA C/ VENEZIANA,METAL ,COM BORNE,
