CÓD DO PRODUTO,DESCRIÇÃO,CENTRAL,ENGRENAGEM,ESTATOR E SEM FIM,CAPACITOR,ROLAMENTO
2008044,CONJ. MOVIMENTADOR TRINO NEW BV HEAVY SPEED 220V SEM ACIONAMENTO,FLEX,NYLON 2 ENT SEM IMÃ,P39 220V 2 ENT BV COM MOLA,20UF,6004
2008045,CONJ. MOVIMENTADOR TRINO NEW BV3 220V SEM ACIONAMENTO - CONDOMINIAL 200,FLEX,NYLON 1 ENT SEM IMÃ,P33 220V 1 ENT BV SEM MOLA,15UF,PLÁSTICO
2008038,CONJ. MOVIMENTADOR TRINO NEW BV4 220V SEM ACIONAMENTO EX,FLEX,NYLON 1 ENT SEM IMÃ,P28 220V 1 ENT BV SEM MOLA,20UF,PLÁSTICO
2008047,CONJ. MOVIMENTADOR BV SPEED TURBO PRO 1/2HP FREQUENCY INVERTER BIVOLT SEM ACIONAMENTO EX,NEW INVERTER,NYLON 1 ENT COM IMÃ,P39 TRIFÁSICO 1 ENT BV SEM MOLA,NÃO USA,6004
2008048,CONJ. MOVIMENTADOR TRINO NEW BV HEAVY 220V SEM ACIONAMENTO EX,FLEX,NYLON 1 ENT SEM IMÃ,P39 220V 1 ENT BV SEM MOLA,20UF,6004
2008049,CONJ. MOVIMENTADOR TRINO NEW BV3 SPEED 220V SEM ACIONAMENTO PANTHER EX,FLEX,NYLON 2 ENT SEM IMÃ,P33 127V 2 ENT BV COM MOLA,50UF,PLÁSTICO
2008050,CONJ. MOVIMENTADOR TRINO NEW BV4 220V SEM ACIONAMENTO PANTHER EX,FLEX,NYLON 1 ENT SEM IMÃ,P28 220V 1 ENT BV SEM MOLA,20UF,PLÁSTICO
2008051,CONJ. MOVIMENTADOR TRINO NEW BV4 SPEED 220V SEM ACIONAMENTO PANTHER EX,FLEX,NYLON 2 ENT SEM IMÃ,P28 220V 2 ENT BV COM MOLA,20UF,PLÁSTICO
2008052,CONJ. MOVIMENTADOR TRINO NEW BV3 220V SEM ACIONAMENTO EX,FLEX,NYLON 1 ENT SEM IMÃ,P33 220V 1 ENT BV SEM MOLA,20UF,PLÁSTICO
2008053,"CONJ. MOVIMENTADOR TRINO NEW BV4 220V 1,40MTS COM ACIONAMENTO EX",FLEX,NYLON 1 ENT SEM IMÃ,P28 220V 1 ENT BV SEM MOLA,20UF,PLÁSTICO
